,osm_id,type,oneway,bridge,geometry
52572,524117755,service,0,0,"LINESTRING (116.3078883 39.9713421, 116.3085812 39.9713648, 116.3085893 39.9712682, 116.3096568 39.9713257, 116.3096434 39.9716074, 116.3097212 39.9716855, 116.3098204 39.9717184, 116.3107088 39.9717599)"
52574,524200047,path,0,0,"LINESTRING (116.3069447 39.9715049, 116.3078459 39.9715687)"
52575,524200050,footway,0,0,"LINESTRING (116.3069732 39.9712086, 116.3078958 39.9712686)"
52576,524200051,footway,0,0,"LINESTRING (116.3069921 39.9710132, 116.3079154 39.9710771)"
52587,524200073,cycleway,0,0,"LINESTRING (116.3087692 39.9719917, 116.3106648 39.972106)"
52846,532520100,footway,0,0,"LINESTRING (116.3070937 39.9786371, 116.3076468 39.9774775)"
53381,541816108,footway,0,0,"LINESTRING (116.3129629 39.9718116, 116.3128914 39.9717933)"
53382,541816109,footway,0,0,"LINESTRING (116.3124427 39.9716883, 116.3124945 39.9717052)"
55773,582733767,residential,0,0,"LINESTRING (116.3141134 39.9748083, 116.3141071 39.974879, 116.3141044 39.9749058, 116.3140229 39.975859)"
57382,621713880,service,0,0,"LINESTRING (116.3119966 39.9738962, 116.312485 39.9739839, 116.313431 39.9739839, 116.3137463 39.9740607, 116.3137211 39.9746386)"
57383,621713881,residential,0,0,"LINESTRING (116.3151845 39.974679, 116.3153083 39.9740387, 116.3163744 39.9731064, 116.3168132 39.9732932)"
57384,621715531,residential,0,0,"LINESTRING (116.3147149 39.9713234, 116.3146439 39.9720575, 116.3139883 39.973634)"
57385,621715532,residential,0,0,"LINESTRING (116.3138738 39.9712911, 116.3138324 39.9717852, 116.3132226 39.9734271)"
57441,622494865,residential,0,0,"LINESTRING (116.3165592 39.9731852, 116.3165577 39.9732148, 116.3164838 39.9747148)"
